TYPE,MARKET,FROMSYMBOL,TOSYMBOL,FLAGS,LASTMARKET,MEDIAN,TOPTIERVOLUME24HOUR,TOPTIERVOLUME24HOURTO,LASTTRADEID,PRICE,LASTUPDATE,LASTVOLUME,LASTVOLUMETO,VOLUMEHOUR,VOLUMEHOURTO,OPENHOUR,HIGHHOUR,LOWHOUR,VOLUMEDAY,VOLUMEDAYTO,OPENDAY,HIGHDAY,LOWDAY,VOLUME24HOUR,VOLUME24HOURTO,OPEN24HOUR,HIGH24HOUR,LOW24HOUR,CHANGE24HOUR,CHANGEPCT24HOUR,CHANGEDAY,CHANGEPCTDAY,CHANGEHOUR,CHANGEPCTHOUR,CONVERSIONTYPE,CONVERSIONSYMBOL,CONVERSIONLASTUPDATE,SUPPLY,MKTCAP,MKTCAPPENALTY,CIRCULATINGSUPPLY,CIRCULATINGSUPPLYMKTCAP,TOTALVOLUME24H,TOTALVOLUME24HTO,TOTALTOPTIERVOLUME24H,TOTALTOPTIERVOLUME24HTO,IMAGEURL,FETCHED_AT
5,CCCAGG,BTC,USD,2,CCCAGG,88969.2107734465,9762.32150595,862900998.619772,979984989,88969.2107734465,1767342514,0.00583358,518.9203919916,364.5092684,32400128.96748,88764.9265899779,89007.952866259,88712.0492123446,4519.51784115,401002679.028846,88742.6773204123,89023.4869704257,88289.331392005,9762.32150595,862900998.619772,87633.2059946774,89023.4869704257,87614.8956544702,1336.0047787691,1.5245417117915845,226.53345303419337,0.25527002325642806,204.2841834685969,0.23014065500467817,direct,,1767342514,19970421.0,1776752595183.4622,0,19970421.0,1776752595183.4622,117691.662152702,10465289255.259758,57039.5356886532,5069117432.022067,/media/37746251/btc.png,2026-01-02 00:28:46.347662-08:00
5,CCCAGG,BTC,USD,1,CCCAGG,88613.8749876903,9535.00569613,838766972.403754,979780088,88613.8749876903,1767316524,2.829e-05,2.5068128283,128.99804617,11442319.3149292,88738.0009550925,88778.9123069355,88590.7447918088,870.85267358,77213431.3555631,88742.6773204123,88784.6460267087,88492.2527907491,9535.00569613,838766972.403754,87818.7820760014,88806.5878471813,87400.2092525952,795.092911688902,0.9053791146873356,-128.80233272199985,-0.1451413644609223,-124.12596740220033,-0.13987915669298948,direct,,1767316524,19970287.0,1769644515686.2969,0,19970287.0,1769644515686.2969,104226.87210165,9229780184.413574,48041.964242058,4251017783.1487904,/media/37746251/btc.png,2026-01-01 17:15:34.173714-08:00
5,CCCAGG,BTC,USD,2,CCCAGG,88716.1850216106,9292.36650732,819590419.033767,979886914,88716.1850216106,1767328374,1.127e-05,0.9997967497,264.80460554,23500441.364924,88846.1136412025,88892.6720314639,88598.6438310225,2757.40155757,244571790.513323,88742.6773204123,89023.4869704257,88289.331392005,9292.36650732,819590419.033767,87438.0405965275,89023.4869704257,87437.027736564,1278.1444250830973,1.4617715771799413,-26.492298801706056,-0.029852940661293733,-129.9286195918976,-0.14624007091250307,direct,,1767328374,19970353.0,1771693531694.8762,0,19970353.0,1771693531694.8762,110873.931342029,9831519319.694544,52478.26747017,4650878799.178919,/media/37746251/btc.png,2026-01-01 20:32:55.602967-08:00
5,CCCAGG,BTC,USD,2,CCCAGG,88947.26855293,9632.47659393,851350118.620033,979980326,88947.26855293,1767341843,0.00110794,98.5277303544,234.66435638,20849248.9677414,88764.9265899779,88993.5554731028,88712.0492123446,4389.67292913,389451799.029121,88742.6773204123,89023.4869704257,88289.331392005,9632.47659393,851350118.620033,87633.2059946774,89023.4869704257,87614.8956544702,1314.0625582526118,1.4995030061235286,204.59123251770507,0.23054435441361834,182.3419629521086,0.20542118374567114,direct,,1767341843,19970421.0,1776314399802.0732,0,19970421.0,1776314399802.073,116726.020095994,10377028292.783012,56006.4430563732,4976187767.4195385,/media/37746251/btc.png,2026-01-02 00:17:38.359553-08:00
